1742293796798|1|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL
1742293796801|1|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT @@foreign_key_checks|SELECT @@foreign_key_checks
1742293796801|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT @@sql_safe_updates|SELECT @@sql_safe_updates
1742293796802|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT DATABASE()|SELECT DATABASE()
1742293796806|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT DATABASE()|SELECT DATABASE()
1742293796807|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT SUBSTRING_INDEX(USER(),'@',1)|SELECT SUBSTRING_INDEX(USER(),'@',1)
1742293796808|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT version()|SELECT version()
1742293796818|4|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT COUNT(1) FROM information_schema.schemata WHERE schema_name=? LIMIT 1|SELECT COUNT(1) FROM information_schema.schemata WHERE schema_name='review_system' LIMIT 1
1742293796832|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL
1742293796833|1|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SET foreign_key_checks=?, sql_safe_updates=?|SET foreign_key_checks=1, sql_safe_updates=0
1742293796841|1|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT `installed_rank`,`version`,`description`,`type`,`script`,`checksum`,`installed_on`,`installed_by`,`execution_time`,`success` FROM `review_system`.`flyway_schema_history` WHERE `installed_rank` > ? ORDER BY `installed_rank`|SELECT `installed_rank`,`version`,`description`,`type`,`script`,`checksum`,`installed_on`,`installed_by`,`execution_time`,`success` FROM `review_system`.`flyway_schema_history` WHERE `installed_rank` > -1 ORDER BY `installed_rank`
1742293796847|0|commit|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true||
1742293796851|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL
1742293796851|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SET foreign_key_checks=?, sql_safe_updates=?|SET foreign_key_checks=1, sql_safe_updates=0
1742293796857|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL
1742293796857|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SET foreign_key_checks=?, sql_safe_updates=?|SET foreign_key_checks=1, sql_safe_updates=0
1742293796859|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT GET_LOCK(?,10)|SELECT GET_LOCK('Flyway-2057055107',10)
1742293796860|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL
1742293796860|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SET foreign_key_checks=?, sql_safe_updates=?|SET foreign_key_checks=1, sql_safe_updates=0
1742293796862|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT `installed_rank`,`version`,`description`,`type`,`script`,`checksum`,`installed_on`,`installed_by`,`execution_time`,`success` FROM `review_system`.`flyway_schema_history` WHERE `installed_rank` > ? ORDER BY `installed_rank`|SELECT `installed_rank`,`version`,`description`,`type`,`script`,`checksum`,`installed_on`,`installed_by`,`execution_time`,`success` FROM `review_system`.`flyway_schema_history` WHERE `installed_rank` > 2 ORDER BY `installed_rank`
1742293796864|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT RELEASE_LOCK('Flyway-2057055107')|SELECT RELEASE_LOCK('Flyway-2057055107')
1742293796865|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL
1742293796866|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SET foreign_key_checks=?, sql_safe_updates=?|SET foreign_key_checks=1, sql_safe_updates=0
1742293796867|0|commit|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true||
1742293820141|2|statement|connection 1|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT  id,shop_name,shop_logo,description,category,address,phone,email,website_url,social_media_links,status,created_at,updated_at  FROM shops     WHERE (id = ?)|SELECT  id,shop_name,shop_logo,description,category,address,phone,email,website_url,social_media_links,status,created_at,updated_at  FROM shops     WHERE (id = 1000)
